Number of Plane,average_circlingtime,total_arrivepassenger,total_leavepassenger,total_circlingtime,total_circlingtime,,,,,,,,Simulation Time,totalCirclingTime,totalReceivedPassenger
20,40.16236919,1563475,1563557,276910.8,4615.18,,,,,,,,10000,6255,203459
25,53.89656696,1697397,1697196,768267.6,12804.46,,,,,,,,20000,11946,453665
30,62.75975189,1690500,1690790,1365670.8,22761.18,,,,,,,,30000,19188,816648
35,70.34109579,1744714,1745099,2062549.6,34375.82667,,,,,,,,40000,24984,1060877
40,77.4935764,1732197,1731393,2863248.8,47720.81333,,,,,,,,50000,30008,1278501
45,84.33242879,1734296,1734895,3759706.8,62661.78,,,,,,,,70000,43094,1727245
50,91.13472495,1744134,1744008,4763110,79385.16667,,,,,,,,100000,59541,2114193
55,97.56325561,1731547,1732518,5851274,97521.23333,,,,,,,,150000,92048,2781277
60,104.4783658,1717980,1717624,7063763.6,117729.3933,,,,,,,,200000,123340,5668896
65,111.1256518,1721731,1721409,8356878,139281.3,,,,,,,,250000,151833,5909425
70,117.7150489,1729993,1731155,9757974,162632.9,,,,,,,,300000,182713,7688358
75,124.1655605,1747810,1747400,1.13E+07,187587.1933,,,,,,,,,,
80,130.7701084,1741494,1740536,1.29E+07,214362.2733,,,,,,,,,,
85,137.2675864,1744023,1744669,1.45E+07,242473.5533,,,,,,,,,,
90,143.6010752,1753596,1757291,1.63E+07,272034.6333,,,,,,,,,,
95,150.5209677,1751639,1749178,1.83E+07,304346.82,,,,,,,,,,
100,156.9710708,1744832,1745059,2.03E+07,337638.76,,,,,,,,,,
105,163.2954415,1757761,1759143,2.23E+07,372327.46,,,,,,,,,,
110,169.7691588,1746810,1747172,2.45E+07,409030.54,,,,,,,,,,
115,176.0962899,1755033,1755610,2.68E+07,446942.0867,,,,,,,,,,
120,182.9159047,1761112,1760319,2.93E+07,487673.88,,,,,,,,,,
125,189.3166184,1759649,1759571,3.17E+07,528968.92,,,,,,,,,,
130,195.6492872,1746269,1747548,3.43E+07,571791.8333,,,,,,,,,,
135,202.3565773,1753229,1754322,3.70E+07,617348.12,,,,,,,,,,
140,208.9090547,1760829,1760195,3.98E+07,664054.2867,,,,,,,,,,
145,215.1312847,1751355,1751834,4.27E+07,711509.0133,,,,,,,,,,
150,221.359996,1741163,1741636,4.56E+07,760639.0933,,,,,,,,,,
155,228.0986087,1738765,1738329,4.88E+07,813160.6133,,,,,,,,,,
160,234.7851241,1739856,1741463,5.20E+07,867144.3,,,,,,,,,,
165,241.3971463,1741523,1742929,5.54E+07,922639.7067,,,,,,,,,,
170,247.6803616,1741544,1741901,5.87E+07,978337.78,,,,,,,,,,
175,254.2354348,1748716,1748196,6.22E+07,1037029.207,,,,,,,,,,
180,260.5540727,1747662,1747301,6.58E+07,1096317.987,,,,,,,,,,
185,267.0486649,1740636,1740427,6.95E+07,1158065.113,,,,,,,,,,
190,273.1765697,1736691,1737680,7.32E+07,1219744.633,,,,,,,,,,
195,279.8640946,1737493,1738351,7.71E+07,1285717,,,,,,,,,,
200,286.1537936,1736288,1738319,8.11E+07,1351515.16,,,,,,,,,,
205,293.1093812,1737770,1736864,8.53E+07,1422079.353,,,,,,,,,,
210,299.2616599,1746465,1744453,8.94E+07,1490468.427,,,,,,,,,,
215,305.5985579,1740045,1741726,9.37E+07,1561462.227,,,,,,,,,,
220,312.1377484,1729825,1733452,9.81E+07,1635059.993,,,,,,,,,,
225,318.7663194,1732952,1731394,1.03E+08,1710746.033,,,,,,,,,,
230,325.5909816,1739667,1737258,1.07E+08,1789242.607,,,,,,,,,,
235,331.2331423,1737777,1742430,1.12E+08,1862975.527,,,,,,,,,,
240,338.0309885,1736189,1736317,1.17E+08,1944772.813,,,,,,,,,,
245,344.2471612,1736159,1737839,1.21E+08,2024972.873,,,,,,,,,,
250,350.9306036,1734720,1736853,1.27E+08,2109496.36,,,,,,,,,,
255,357.2406269,1738822,1738100,1.32E+08,2193489.54,,,,,,,,,,
260,363.6369293,1736958,1734686,1.37E+08,2279665.393,,,,,,,,,,
265,369.7857223,1727653,1731827,1.42E+08,2365939,,,,,,,,,,
270,376.7095886,1725054,1722900,1.48E+08,2458792.627,,,,,,,,,,
275,382.7590566,1730177,1733444,1.53E+08,2547798.513,,,,,,,,,,
280,389.2464846,1725435,1723489,1.58E+08,2641348.247,,,,,,,,,,
285,396.0859464,1724100,1724105,1.64E+08,2738910.273,,,,,,,,,,
290,402.1713475,1730060,1728220,1.70E+08,2832941.02,,,,,,,,,,
295,408.715971,1727889,1729007,1.76E+08,2931702.66,,,,,,,,,,
300,415.0930707,1730948,1733187,1.82E+08,3031143.467,,,,,,,,,,
305,421.6003,1734222,1734245,1.88E+08,3132982.787,,,,,,,,,,
310,427.6067587,1722805,1725326,1.94E+08,3232878.593,,,,,,,,,,
315,433.5370702,1726418,1731413,2.00E+08,3333905.613,,,,,,,,,,
320,441.1939609,1734193,1729972,2.07E+08,3449918.967,,,,,,,,,,
325,447.5146301,1732735,1736547,2.13E+08,3556899.4,,,,,,,,,,
330,453.7267623,1735171,1729923,2.20E+08,3664821.853,,,,,,,,,,
335,459.0131053,1722902,1732111,2.26E+08,3766921.22,,,,,,,,,,
340,466.6726833,1732316,1734032,2.33E+08,3889930.127,,,,,,,,,,
345,473.8691536,1725611,1719421,2.41E+08,4011041.467,,,,,,,,,,
350,479.1788661,1728126,1729417,2.47E+08,4117878.267,,,,,,,,,,
355,486.0963143,1727365,1724597,2.54E+08,4240200.093,,,,,,,,,,
360,492.1171297,1720729,1727790,2.61E+08,4356212.413,,,,,,,,,,
365,498.7931134,1724282,1722238,2.69E+08,4479723.26,,,,,,,,,,
370,505.3246809,1720023,1720750,2.76E+08,4603708.127,,,,,,,,,,
375,510.6441694,1718771,1725188,2.83E+08,4718239.673,,,,,,,,,,
380,518.1027151,1727718,1728378,2.91E+08,4854104.68,,,,,,,,,,
385,524.7755265,1727260,1723974,2.99E+08,4984539.113,,,,,,,,,,
390,529.9865625,1725515,1727301,3.06E+08,5102728.773,,,,,,,,,,
395,536.632931,1724684,1726954,3.14E+08,5236008.2,,,,,,,,,,